OrderID|CustomerID|SalespersonPersonID|PickedByPersonID|ContactPersonID|BackorderOrderID|OrderDate|ExpectedDeliveryDate|CustomerPurchaseOrderNumber|IsUndersupplyBackordered|Comments|DeliveryInstructions|InternalComments|PickingCompletedWhen|LastEditedBy|LastEditedWhen
10690|479|2|14|2157||2013-07-17|2013-07-18 00:00:00.0000000|11954|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10691|998|7|14|3198||2013-07-17|2013-07-18 00:00:00.0000000|10351|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10692|60|16|14|1119||2013-07-17|2013-07-18 00:00:00.0000000|12498|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10693|423|14||2045|10779|2013-07-17|2013-07-18 00:00:00.0000000|17794|True||||2013-07-17 12:00:00.0000000|18|2013-07-17 12:00:00.0000000
10694|402|3|14|2003||2013-07-17|2013-07-18 00:00:00.0000000|12816|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10695|851|2|14|3051||2013-07-17|2013-07-18 00:00:00.0000000|16575|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10696|819|6|14|3019||2013-07-17|2013-07-18 00:00:00.0000000|11250|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10697|813|13|14|3013||2013-07-17|2013-07-18 00:00:00.0000000|12270|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10698|49|16|14|1097||2013-07-17|2013-07-18 00:00:00.0000000|17664|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10699|955|6|14|3155||2013-07-17|2013-07-18 00:00:00.0000000|16695|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10700|808|2|14|3008||2013-07-17|2013-07-18 00:00:00.0000000|15284|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10701|116|3|14|1231||2013-07-17|2013-07-18 00:00:00.0000000|16315|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10702|98|14|14|1195||2013-07-17|2013-07-18 00:00:00.0000000|12328|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10703|29|16||1057|10780|2013-07-17|2013-07-18 00:00:00.0000000|17768|True||||2013-07-17 12:00:00.0000000|18|2013-07-17 12:00:00.0000000
10704|442|2|14|2083||2013-07-17|2013-07-18 00:00:00.0000000|16526|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10705|882|3|14|3082||2013-07-17|2013-07-18 00:00:00.0000000|15108|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10706|75|6|14|1149||2013-07-17|2013-07-18 00:00:00.0000000|10591|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10707|1006|16|14|3206||2013-07-17|2013-07-18 00:00:00.0000000|11627|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10708|887|3|14|3087||2013-07-17|2013-07-18 00:00:00.0000000|13109|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10709|893|16|14|3093||2013-07-17|2013-07-18 00:00:00.0000000|14548|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10710|26|15||1051|10781|2013-07-17|2013-07-18 00:00:00.0000000|16392|True||||2013-07-17 12:00:00.0000000|18|2013-07-17 12:00:00.0000000
10711|157|7|14|1313||2013-07-17|2013-07-18 00:00:00.0000000|18000|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10712|816|6|14|3016||2013-07-17|2013-07-18 00:00:00.0000000|19238|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10713|813|15|14|3013||2013-07-17|2013-07-18 00:00:00.0000000|16578|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10714|102|14|14|1203||2013-07-17|2013-07-18 00:00:00.0000000|10837|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10715|932|2|14|3132||2013-07-17|2013-07-18 00:00:00.0000000|12924|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10716|994|7|14|3194||2013-07-17|2013-07-18 00:00:00.0000000|16276|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10717|505|3|14|2209||2013-07-17|2013-07-18 00:00:00.0000000|14305|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10718|104|16|14|1207||2013-07-17|2013-07-18 00:00:00.0000000|16271|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10719|590|6|14|2379||2013-07-17|2013-07-18 00:00:00.0000000|17732|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10720|600|2|14|2399||2013-07-17|2013-07-18 00:00:00.0000000|14956|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10721|547|16|14|2293||2013-07-17|2013-07-18 00:00:00.0000000|17470|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10722|135|20|14|1269||2013-07-17|2013-07-18 00:00:00.0000000|16503|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10723|173|15|14|1345||2013-07-17|2013-07-18 00:00:00.0000000|13893|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10724|64|14|14|1127||2013-07-17|2013-07-18 00:00:00.0000000|18667|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10725|101|3|14|1201||2013-07-17|2013-07-18 00:00:00.0000000|19640|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10726|946|3|14|3146||2013-07-17|2013-07-18 00:00:00.0000000|19415|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10727|136|2|14|1271||2013-07-17|2013-07-18 00:00:00.0000000|12615|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10728|994|2|14|3194||2013-07-17|2013-07-18 00:00:00.0000000|19934|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10729|539|3|14|2277||2013-07-17|2013-07-18 00:00:00.0000000|13370|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10730|819|2|14|3019||2013-07-17|2013-07-18 00:00:00.0000000|10673|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10731|551|6|14|2301||2013-07-17|2013-07-18 00:00:00.0000000|10796|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
10732|427|20|14|2053||2013-07-17|2013-07-18 00:00:00.0000000|12141|True||||2013-07-17 11:00:00.0000000|14|2013-07-17 11:00:00.0000000
