OrderID|CustomerID|SalespersonPersonID|PickedByPersonID|ContactPersonID|BackorderOrderID|OrderDate|ExpectedDeliveryDate|CustomerPurchaseOrderNumber|IsUndersupplyBackordered|Comments|DeliveryInstructions|InternalComments|PickingCompletedWhen|LastEditedBy|LastEditedWhen
90825|26|15|9|1051||2017-02-21|2017-02-22 00:00:00.0000000|12568|True||||2017-02-21 11:00:00.0000000|9|2017-02-21 11:00:00.0000000
90826|45|14|9|1089||2017-02-21|2017-02-22 00:00:00.0000000|10836|True||||2017-02-21 11:00:00.0000000|9|2017-02-21 11:00:00.0000000
90827|821|2|9|3021||2017-02-21|2017-02-22 00:00:00.0000000|15597|True||||2017-02-21 11:00:00.0000000|9|2017-02-21 11:00:00.0000000
90828|121|20|9|1241||2017-02-21|2017-02-22 00:00:00.0000000|12428|True||||2017-02-21 11:00:00.0000000|9|2017-02-21 11:00:00.0000000
90829|1011|15|9|3211||2017-02-21|2017-02-22 00:00:00.0000000|16683|True||||2017-02-21 11:00:00.0000000|9|2017-02-21 11:00:00.0000000
90830|535|14|9|2269||2017-02-21|2017-02-22 00:00:00.0000000|14144|True||||2017-02-21 11:00:00.0000000|9|2017-02-21 11:00:00.0000000
90831|566|8||2331|90915|2017-02-21|2017-02-22 00:00:00.0000000|14476|True||||2017-02-21 12:00:00.0000000|14|2017-02-21 12:00:00.0000000
90832|402|6||2003|90916|2017-02-21|2017-02-22 00:00:00.0000000|12961|True||||2017-02-21 12:00:00.0000000|14|2017-02-21 12:00:00.0000000
90833|184|6||1367|90917|2017-02-21|2017-02-22 00:00:00.0000000|16814|True||||2017-02-21 12:00:00.0000000|14|2017-02-21 12:00:00.0000000
90834|33|14|9|1065||2017-02-21|2017-02-22 00:00:00.0000000|11615|True||||2017-02-21 11:00:00.0000000|9|2017-02-21 11:00:00.0000000
90835|173|14||1345|90918|2017-02-21|2017-02-22 00:00:00.0000000|11075|True||||2017-02-21 12:00:00.0000000|14|2017-02-21 12:00:00.0000000
90836|59|13|9|1117||2017-02-21|2017-02-22 00:00:00.0000000|18025|True||||2017-02-21 11:00:00.0000000|9|2017-02-21 11:00:00.0000000
