OrderLineID|OrderID|StockItemID|PackageTypeID|Quantity|UnitPrice|TaxRate|PickedQuantity|PickingCompletedWhen|LastEditedBy|LastEditedWhen
538464|171979|118|7|2|32.0|15.0|2|2020-06-17 11:00:00.0000000|10|2020-06-17 11:00:00.0000000
538465|171979|216|7|60|12.5|15.0|60|2020-06-17 11:00:00.0000000|10|2020-06-17 11:00:00.0000000
538466|171979|201|7|24|3.7|15.0|24|2020-06-17 11:00:00.0000000|10|2020-06-17 11:00:00.0000000
538467|171979|30|7|7|13.0|15.0|7|2020-06-17 11:00:00.0000000|10|2020-06-17 11:00:00.0000000
538468|171980|75|7|4|345.0|15.0|4|2020-06-17 11:00:00.0000000|10|2020-06-17 11:00:00.0000000
538469|171980|171|7|20|32.0|15.0|20|2020-06-17 11:00:00.0000000|10|2020-06-17 11:00:00.0000000
538470|171981|206|7|84|2.7|15.0|84|2020-06-17 11:00:00.0000000|10|2020-06-17 11:00:00.0000000
538471|171981|76|7|84|18.0|15.0|84|2020-06-17 11:00:00.0000000|10|2020-06-17 11:00:00.0000000
538472|171981|122|7|3|32.0|15.0|3|2020-06-17 11:00:00.0000000|10|2020-06-17 11:00:00.0000000
538473|171981|73|7|4|285.0|15.0|4|2020-06-17 11:00:00.0000000|10|2020-06-17 11:00:00.0000000
538474|171982|166|7|20|42.0|15.0|20|2020-06-17 11:00:00.0000000|10|2020-06-17 11:00:00.0000000
538475|171982|87|7|36|18.0|15.0|36|2020-06-17 11:00:00.0000000|10|2020-06-17 11:00:00.0000000
538476|171982|131|7|8|32.0|15.0|8|2020-06-17 11:00:00.0000000|10|2020-06-17 11:00:00.0000000
538477|171982|52|7|7|13.0|15.0|7|2020-06-17 11:00:00.0000000|10|2020-06-17 11:00:00.0000000
538478|171982|218|7|10|37.5|15.0|10|2020-06-17 11:00:00.0000000|10|2020-06-17 11:00:00.0000000
538479|172019|86|7|36|18.0|15.0|36|2020-06-29 11:00:00.0000000|18|2020-06-29 11:00:00.0000000
538480|171983|87|7|12|18.0|15.0|12|2020-06-17 11:00:00.0000000|10|2020-06-17 11:00:00.0000000
538481|171983|63|7|4|25.0|15.0|4|2020-06-17 11:00:00.0000000|10|2020-06-17 11:00:00.0000000
538482|171984|120|7|8|32.0|15.0|8|2020-06-17 11:00:00.0000000|10|2020-06-17 11:00:00.0000000
538483|171984|190|7|180|3.5|15.0|180|2020-06-17 11:00:00.0000000|10|2020-06-17 11:00:00.0000000
538484|171984|96|7|60|18.0|15.0|60|2020-06-17 11:00:00.0000000|10|2020-06-17 11:00:00.0000000
538485|171984|50|7|10|13.0|15.0|10|2020-06-17 11:00:00.0000000|10|2020-06-17 11:00:00.0000000
538486|171984|130|7|7|32.0|15.0|7|2020-06-17 11:00:00.0000000|10|2020-06-17 11:00:00.0000000
538487|171985|42|7|9|13.0|15.0|9|2020-06-17 11:00:00.0000000|10|2020-06-17 11:00:00.0000000
538488|171985|32|7|6|13.0|15.0|6|2020-06-17 11:00:00.0000000|10|2020-06-17 11:00:00.0000000
