OrderLineID|OrderID|StockItemID|PackageTypeID|Quantity|UnitPrice|TaxRate|PickedQuantity|PickingCompletedWhen|LastEditedBy|LastEditedWhen
232144|73837|103|7|1|35.0|15.0|1|2016-06-04 11:00:00.0000000|12|2016-06-04 11:00:00.0000000
232145|73837|45|7|8|13.0|15.0|8|2016-06-04 11:00:00.0000000|12|2016-06-04 11:00:00.0000000
232146|73837|11|7|2|4.8|15.0|2|2016-06-04 11:00:00.0000000|12|2016-06-04 11:00:00.0000000
232147|73838|63|7|8|25.0|15.0|8|2016-06-04 11:00:00.0000000|12|2016-06-04 11:00:00.0000000
232148|73838|54|7|10|13.0|15.0|10|2016-06-04 11:00:00.0000000|12|2016-06-04 11:00:00.0000000
232149|73838|186|7|200|2.1|15.0|200|2016-06-04 11:00:00.0000000|12|2016-06-04 11:00:00.0000000
232150|73838|108|7|5|25.0|15.0|5|2016-06-04 11:00:00.0000000|12|2016-06-04 11:00:00.0000000
232151|73838|121|7|5|32.0|15.0|5|2016-06-04 11:00:00.0000000|12|2016-06-04 11:00:00.0000000
232152|73839|135|7|1|32.0|15.0|1|2016-06-04 11:00:00.0000000|12|2016-06-04 11:00:00.0000000
232153|73839|129|7|9|32.0|15.0|9|2016-06-04 11:00:00.0000000|12|2016-06-04 11:00:00.0000000
232154|73840|135|7|9|32.0|15.0|9|2016-06-04 11:00:00.0000000|12|2016-06-04 11:00:00.0000000
232155|73840|151|9|5|16.0|15.0|5|2016-06-04 11:00:00.0000000|12|2016-06-04 11:00:00.0000000
232156|73841|22|7|5|13.0|15.0|5|2016-06-04 11:00:00.0000000|12|2016-06-04 11:00:00.0000000
232157|73891|193|7|168|3.7|15.0|0||10|2016-06-04 12:00:00.0000000
232158|73841|101|7|96|18.0|15.0|96|2016-06-04 11:00:00.0000000|12|2016-06-04 11:00:00.0000000
232159|73841|93|7|84|18.0|15.0|84|2016-06-04 11:00:00.0000000|12|2016-06-04 11:00:00.0000000
232160|73841|116|7|2|34.0|15.0|2|2016-06-04 11:00:00.0000000|12|2016-06-04 11:00:00.0000000
232161|73892|193|7|168|3.7|15.0|0||10|2016-06-04 12:00:00.0000000
232162|73842|103|7|10|35.0|15.0|10|2016-06-04 11:00:00.0000000|12|2016-06-04 11:00:00.0000000
232163|73842|23|7|8|13.0|15.0|8|2016-06-04 11:00:00.0000000|12|2016-06-04 11:00:00.0000000
232164|73842|164|7|90|112.0|15.0|90|2016-06-04 11:00:00.0000000|12|2016-06-04 11:00:00.0000000
232165|73843|36|7|6|13.0|15.0|6|2016-06-04 11:00:00.0000000|12|2016-06-04 11:00:00.0000000
232166|73843|53|7|5|13.0|15.0|5|2016-06-04 11:00:00.0000000|12|2016-06-04 11:00:00.0000000
232167|73844|54|7|6|13.0|15.0|6|2016-06-04 11:00:00.0000000|12|2016-06-04 11:00:00.0000000
232168|73844|91|7|48|18.0|15.0|48|2016-06-04 11:00:00.0000000|12|2016-06-04 11:00:00.0000000
232169|73844|145|7|36|18.0|15.0|36|2016-06-04 11:00:00.0000000|12|2016-06-04 11:00:00.0000000
232170|73844|12|7|1|32.0|15.0|1|2016-06-04 11:00:00.0000000|12|2016-06-04 11:00:00.0000000
232171|73844|34|7|6|13.0|15.0|6|2016-06-04 11:00:00.0000000|12|2016-06-04 11:00:00.0000000
232172|73845|71|7|7|230.0|15.0|7|2016-06-04 11:00:00.0000000|12|2016-06-04 11:00:00.0000000
232173|73893|184|7|150|3.5|15.0|150|2016-06-22 11:00:00.0000000|10|2016-06-22 11:00:00.0000000
232174|73845|151|9|4|16.0|15.0|4|2016-06-04 11:00:00.0000000|12|2016-06-04 11:00:00.0000000
232175|73846|209|7|35|1.89|15.0|35|2016-06-04 11:00:00.0000000|12|2016-06-04 11:00:00.0000000
232176|73846|51|7|10|13.0|15.0|10|2016-06-04 11:00:00.0000000|12|2016-06-04 11:00:00.0000000
232177|73846|154|7|100|20.0|15.0|100|2016-06-04 11:00:00.0000000|12|2016-06-04 11:00:00.0000000
232178|73846|213|7|9|87.0|15.0|9|2016-06-04 11:00:00.0000000|12|2016-06-04 11:00:00.0000000
232179|73846|62|7|8|25.0|15.0|8|2016-06-04 11:00:00.0000000|12|2016-06-04 11:00:00.0000000
232180|73847|149|7|108|18.0|15.0|108|2016-06-04 11:00:00.0000000|12|2016-06-04 11:00:00.0000000
232181|73847|121|7|5|32.0|15.0|5|2016-06-04 11:00:00.0000000|12|2016-06-04 11:00:00.0000000
